System,JCA ID,Capability,WME,WME Description
BUMIS II,1.1.1.2,Assignment,W3,Gather Develop and Prioritize Requirements
BUMIS II,1.1.1.2,Assignment,W4,Unify and Fully Integrate the Enterprise Support Activities
BUMIS II,1.1.1.2,Assignment,W5,Manage and Administer MTFs
BUMIS II,1.1.1.2,Assignment,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
BUMIS II,1.1.1.2,Assignment,M1,Optimize Critical Internal Management Processes
Blades,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
Blades,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
Blood Analyzer,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
Blood Analyzer,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
Blood Analyzer,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
Blood Analyzer,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
Blue-Ray devices,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
Blue-Ray devices,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
Bone Scanner,1.4.2.3.5,Radiology Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
Bone Scanner,1.4.2.3.5,Radiology Diagnostic Services,E4,Deliver Solutions to Combatant Commands
Bone Scanner,1.4.2.3.5,Radiology Diagnostic Services,W5,Manage and Administer MTFs
Bone Scanner,1.4.2.3.5,Radiology Diagnostic Services,W8,Improve Readiness Health and Experience
Brain-Train,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
Brain-Train,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
Brain-Train,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
Brain-Train,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
Brain-Train,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
Brightview X,1.4.2.3.5,Radiology Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
Brightview X,1.4.2.3.5,Radiology Diagnostic Services,E4,Deliver Solutions to Combatant Commands
Brightview X,1.4.2.3.5,Radiology Diagnostic Services,W5,Manage and Administer MTFs
Brightview X,1.4.2.3.5,Radiology Diagnostic Services,W8,Improve Readiness Health and Experience
Buxco FinePointe,1.4.3.10,Medical Research and Development,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
Buxco FinePointe,1.4.3.10,Medical Research and Development,W1,Build Robust Improvement Capability
Buxco FinePointe,1.4.3.10,Medical Research and Development,W3,Gather Develop and Prioritize Requirements
Buxco FinePointe,1.4.3.10,Medical Research and Development,W10,Deploy Solutions for 21st Century
CA,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
CA,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
CACHE,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
CACHE,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
CAC RESET,6.1.3.1.1,Assure Access,E4,Deliver Solutions to Combatant Commands
CAC RESET,6.1.3.1.1,Assure Access,W7,Deliver and Sustain Electronic Health Record
CAD-SP,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAD-SP,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
CAD-SP,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
CAD-SP,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CAD-SP,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
CAIT,1.4.3.9.7,Medical Logistics Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAIT,1.4.3.9.7,Medical Logistics Services,E4,Deliver Solutions to Combatant Commands
CAIT,1.4.3.9.7,Medical Logistics Services,W3,Gather Develop and Prioritize Requirements
CAIT,1.4.3.9.7,Medical Logistics Services,W5,Manage and Administer MTFs
CAIT,1.4.3.9.7,Medical Logistics Services,W8,Improve Readiness Health and Experience
CAIT,1.4.3.9.7,Medical Logistics Services,M1,Optimize Critical Internal Management Processes
CAIT,1.4.3.9.7,Medical Logistics Services,E4,Deliver Solutions to Combatant Commands
CAIT,1.4.3.9.7,Medical Logistics Services,W3,Gather Develop and Prioritize Requirements
CAIT,1.4.3.9.7,Medical Logistics Services,W5,Manage and Administer MTFs
CAIT,1.4.3.9.7,Medical Logistics Services,W8,Improve Readiness Health and Experience
CAMEO,1.4.1.10.4,Achievement of health preparedness and an adequate response capability,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAMEO,1.4.1.10.4,Achievement of health preparedness and an adequate response capability,E4,Deliver Solutions to Combatant Commands
CAMEO,1.4.1.10.4,Achievement of health preparedness and an adequate response capability,W8,Improve Readiness Health and Experience
CAMO CLUSTER,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
CAMO CLUSTER,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
CAMTASIA,1.4.3.5.3,Staff Development,E2,Optimize Operations Across the Military Health System
CAMTASIA,1.4.3.5.3,Staff Development,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAMTASIA,1.4.3.5.3,Staff Development,W1,Build Robust Improvement Capability
CAMTASIA,1.4.3.5.3,Staff Development,W2,Ensure that Everyone Can Succeed
CAMTASIA,1.4.3.5.3,Staff Development,W5,Manage and Administer MTFs
CAMTASIA,1.4.3.5.3,Staff Development,W8,Improve Readiness Health and Experience
CANCER CE,1.4.2.4,TREATMENT,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CANCER CE,1.4.2.4,TREATMENT,E4,Deliver Solutions to Combatant Commands
CANCER CE,1.4.2.4,TREATMENT,W5,Manage and Administer MTFs
CANCER CE,1.4.2.4,TREATMENT,W8,Improve Readiness Health and Experience
CANON,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CANON,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),E4,Deliver Solutions to Combatant Commands
CANON,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),W5,Manage and Administer MTFs
CANON,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),W8,Improve Readiness Health and Experience
CAPS-W,1.4.3.6,Medical Financial Management,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAPS-W,1.4.3.6,Medical Financial Management,W3,Gather Develop and Prioritize Requirements
CAPS-W,1.4.3.6,Medical Financial Management,W5,Manage and Administer MTFs
CAPS-W,1.4.3.6,Medical Financial Management,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CAPS-W,1.4.3.6,Medical Financial Management,W8,Improve Readiness Health and Experience
CAPS-W,1.4.3.6,Medical Financial Management,M1,Optimize Critical Internal Management Processes
CAPTAINS LOG,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAPTAINS LOG,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
CAPTAINS LOG,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
CAPTAINS LOG,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CAPTAINS LOG,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
CARDIO-SOFT,1.4.2.4.2,Emergency Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARDIO-SOFT,1.4.2.4.2,Emergency Services,E4,Deliver Solutions to Combatant Commands
CARDIO-SOFT,1.4.2.4.2,Emergency Services,W4,Unify and Fully Integrate the Enterprise Support Activities
CARDIO-SOFT,1.4.2.4.2,Emergency Services,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CARDIO-SOFT,1.4.2.4.2,Emergency Services,W8,Improve Readiness Health and Experience
CARDIO-SOFT,1.4.2.4.2,Emergency Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARDIO-SOFT,1.4.2.4.2,Emergency Services,E4,Deliver Solutions to Combatant Commands
CARDIO-SOFT,1.4.2.4.2,Emergency Services,W5,Manage and Administer MTFs
CARDIO-SOFT,1.4.2.4.2,Emergency Services,W8,Improve Readiness Health and Experience
CARDIO2,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARDIO2,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
CARDIO2,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
CARDIO2,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CARDIO2,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,E2,Optimize Operations Across the Military Health System
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,W2,Ensure that Everyone Can Succeed
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,W3,Gather Develop and Prioritize Requirements
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,W5,Manage and Administer MTFs
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,W8,Improve Readiness Health and Experience
CARDIOVASCULAR CE,1.4.3.5,Joint and Service Medical Education and Training,M1,Optimize Critical Internal Management Processes
CARDIO X-Ray Device,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARDIO X-Ray Device,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
CARDIO X-Ray Device,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
CARDIO X-Ray Device,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CARDIO X-Ray Device,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
CARDMINDER PFU,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
CARDMINDER PFU,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
CARE360,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARE360,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
CARE360,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
CARE360,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CARE360,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
CARECHEK,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CARECHEK,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
CARECHEK,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
CARECHEK,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
CAREFUSION,1.4.2.4.10,Pharmacy Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CAREFUSION,1.4.2.4.10,Pharmacy Services,E4,Deliver Solutions to Combatant Commands
CAREFUSION,1.4.2.4.10,Pharmacy Services,W2,Ensure that Everyone Can Succeed
CAREFUSION,1.4.2.4.10,Pharmacy Services,W5,Manage and Administer MTFs
CAREFUSION,1.4.2.4.10,Pharmacy Services,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CAREFUSION,1.4.2.4.10,Pharmacy Services,W8,Improve Readiness Health and Experience
CAT,9.4.4.2,Contracting,E4,Deliver Solutions to Combatant Commands
CAT,9.4.4.2,Contracting,W3,Gather Develop and Prioritize Requirements
CAT,9.4.4.2,Contracting,W10,Deploy Solutions for 21st Century
CATEGORY TEST,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CATEGORY TEST,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
CATEGORY TEST,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
CATEGORY TEST,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CATEGORY TEST,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
CATH LAB DB,1.4.2.4.9,Surgery (Inpatient),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CATH LAB DB,1.4.2.4.9,Surgery (Inpatient),E4,Deliver Solutions to Combatant Commands
CATH LAB DB,1.4.2.4.9,Surgery (Inpatient),W5,Manage and Administer MTFs
CATH LAB DB,1.4.2.4.9,Surgery (Inpatient),W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CATH LAB DB,1.4.2.4.9,Surgery (Inpatient),W8,Improve Readiness Health and Experience
CB,1.4.3.10,Medical Research and Development,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CB,1.4.3.10,Medical Research and Development,W1,Build Robust Improvement Capability
CB,1.4.3.10,Medical Research and Development,W3,Gather Develop and Prioritize Requirements
CB,1.4.3.10,Medical Research and Development,W10,Deploy Solutions for 21st Century
CBRNE,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
CBRNE,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
CBUD,9.5.2,Accounting and Finance,E4,Deliver Solutions to Combatant Commands
CBUD,9.5.2,Accounting and Finance,W10,Deploy Solutions for 21st Century
CC,9.5.2,Accounting and Finance,E4,Deliver Solutions to Combatant Commands
CC,9.5.2,Accounting and Finance,W10,Deploy Solutions for 21st Century
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,E4,Deliver Solutions to Combatant Commands
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W3,Gather Develop and Prioritize Requirements
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W5,Manage and Administer MTFs
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W8,Improve Readiness Health and Experience
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W10,Deploy Solutions for 21st Century
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,E4,Deliver Solutions to Combatant Commands
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W5,Manage and Administer MTFs
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W8,Improve Readiness Health and Experience
CC-VISION,1.4.3.9.4,Medical Equipment Maintenance,W10,Deploy Solutions for 21st Century
CCA-200,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CCA-200,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
CCA-200,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
CCA-200,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CCA-200,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
CCE,1.4.2.4.9,Surgery (Inpatient),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CCE,1.4.2.4.9,Surgery (Inpatient),E4,Deliver Solutions to Combatant Commands
CCE,1.4.2.4.9,Surgery (Inpatient),W5,Manage and Administer MTFs
CCE,1.4.2.4.9,Surgery (Inpatient),W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CCE,1.4.2.4.9,Surgery (Inpatient),W8,Improve Readiness Health and Experience
CCE,1.4.3.2.4,Claims Payment,W5,Manage and Administer MTFs
CCE,1.4.3.2.4,Claims Payment,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CCE,1.4.3.2.4,Claims Payment,M1,Optimize Critical Internal Management Processes
CCE,1.4.2.4.5,Surgery (Ambulatory),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CCE,1.4.2.4.5,Surgery (Ambulatory),E4,Deliver Solutions to Combatant Commands
CCE,1.4.2.4.5,Surgery (Ambulatory),W5,Manage and Administer MTFs
CCE,1.4.2.4.5,Surgery (Ambulatory),W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CCE,1.4.2.4.5,Surgery (Ambulatory),W8,Improve Readiness Health and Experience
CCOACH,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CCOACH,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
CCOACH,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
CCOACH,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CCOACH,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
CCQAS,5.1.2.2,Assess Capabilities,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CCQAS,5.1.2.2,Assess Capabilities,W1,Build Robust Improvement Capability
CCQAS,5.1.2.2,Assess Capabilities,W2,Ensure that Everyone Can Succeed
CCQAS,5.1.2.2,Assess Capabilities,W3,Gather Develop and Prioritize Requirements
CCQAS,5.1.2.2,Assess Capabilities,W4,Unify and Fully Integrate the Enterprise Support Activities
CCQAS,5.1.2.2,Assess Capabilities,W5,Manage and Administer MTFs
CCQAS,5.1.2.2,Assess Capabilities,W10,Deploy Solutions for 21st Century
CCQAS,5.1.2.2,Assess Capabilities,M1,Optimize Critical Internal Management Processes
CCQAS,1.4.3.4.2,Credentialing and Privileging,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CCQAS,1.4.3.4.2,Credentialing and Privileging,W5,Manage and Administer MTFs
CCQAS,1.4.3.4.2,Credentialing and Privileging,M1,Optimize Critical Internal Management Processes
CDB,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
CDB,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
CDDLIS,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDDLIS,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
CDDLIS,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
CDDLIS,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
CDI,1.4.2.2.2,Preventive Dentistry Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDI,1.4.2.2.2,Preventive Dentistry Services,E4,Deliver Solutions to Combatant Commands
CDI,1.4.2.2.2,Preventive Dentistry Services,W5,Manage and Administer MTFs
CDI,1.4.2.2.2,Preventive Dentistry Services,W8,Improve Readiness Health and Experience
CDMD-OA,4.2.2,Inventory Management,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDMD-OA,4.2.2,Inventory Management,E4,Deliver Solutions to Combatant Commands
CDMD-OA,4.2.2,Inventory Management,W10,Deploy Solutions for 21st Century
CDMRP,1.4.3.10,Medical Research and Development,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDMRP,1.4.3.10,Medical Research and Development,W1,Build Robust Improvement Capability
CDMRP,1.4.3.10,Medical Research and Development,W3,Gather Develop and Prioritize Requirements
CDMRP,1.4.3.10,Medical Research and Development,W10,Deploy Solutions for 21st Century
CDR,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
CDR,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
CDS,1.1.4,Readiness Reporting,E4,Deliver Solutions to Combatant Commands
CDS,1.1.4,Readiness Reporting,W5,Manage and Administer MTFs
CDS,1.1.4,Readiness Reporting,W8,Improve Readiness Health and Experience
CDS,1.1.4,Readiness Reporting,M1,Optimize Critical Internal Management Processes
CDS,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDS,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),E4,Deliver Solutions to Combatant Commands
CDS,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),W5,Manage and Administer MTFs
CDS,1.4.2.3.2,Ambulatory Diagnostic Services (Dental),W8,Improve Readiness Health and Experience
CDS,1.4.2.2.2,Preventive Dentistry Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDS,1.4.2.2.2,Preventive Dentistry Services,E4,Deliver Solutions to Combatant Commands
CDS,1.4.2.2.2,Preventive Dentistry Services,W5,Manage and Administer MTFs
CDS,1.4.2.2.2,Preventive Dentistry Services,W8,Improve Readiness Health and Experience
CDS,1.4.2.4.4,Routine Ambulatory Care (Dental),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CDS,1.4.2.4.4,Routine Ambulatory Care (Dental),E4,Deliver Solutions to Combatant Commands
CDS,1.4.2.4.4,Routine Ambulatory Care (Dental),W5,Manage and Administer MTFs
CDS,1.4.2.4.4,Routine Ambulatory Care (Dental),W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CDS,1.4.2.4.4,Routine Ambulatory Care (Dental),W8,Improve Readiness Health and Experience
CD TOWER,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
CD TOWER,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
CED,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CED,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
CED,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
CED,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CED,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
CEDARS-SINAI,1.4.2.3.5,Radiology Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEDARS-SINAI,1.4.2.3.5,Radiology Diagnostic Services,E4,Deliver Solutions to Combatant Commands
CEDARS-SINAI,1.4.2.3.5,Radiology Diagnostic Services,W5,Manage and Administer MTFs
CEDARS-SINAI,1.4.2.3.5,Radiology Diagnostic Services,W8,Improve Readiness Health and Experience
CEEP,1.4.3.9.3,Medical Equipment and Technology,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEEP,1.4.3.9.3,Medical Equipment and Technology,E4,Deliver Solutions to Combatant Commands
CEEP,1.4.3.9.3,Medical Equipment and Technology,W3,Gather Develop and Prioritize Requirements
CEEP,1.4.3.9.3,Medical Equipment and Technology,W5,Manage and Administer MTFs
CEEP,1.4.3.9.3,Medical Equipment and Technology,W8,Improve Readiness Health and Experience
CEEP,1.4.3.9.3,Medical Equipment and Technology,W10,Deploy Solutions for 21st Century
CEEP,1.4.3.9.3,Medical Equipment and Technology,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEEP,1.4.3.9.3,Medical Equipment and Technology,E4,Deliver Solutions to Combatant Commands
CEEP,1.4.3.9.3,Medical Equipment and Technology,W5,Manage and Administer MTFs
CEEP,1.4.3.9.3,Medical Equipment and Technology,W8,Improve Readiness Health and Experience
CEEP,1.4.3.9.3,Medical Equipment and Technology,W10,Deploy Solutions for 21st Century
CEIP,1.4.1.4.6,Provide Health Risk Communications (Including CBRNE),E4,Deliver Solutions to Combatant Commands
CEIP,1.4.1.4.6,Provide Health Risk Communications (Including CBRNE),W8,Improve Readiness Health and Experience
CEIP,1.4.1.4.4,Provide Health Risk Evaluation (Characterization),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEIP,1.4.1.4.4,Provide Health Risk Evaluation (Characterization),E4,Deliver Solutions to Combatant Commands
CEIP,1.4.1.4.4,Provide Health Risk Evaluation (Characterization),W8,Improve Readiness Health and Experience
CEIP,1.4.1.4.4,Provide Health Risk Evaluation (Characterization),W10,Deploy Solutions for 21st Century
CEIP,6.2.2.2,Distributed Computing,E4,Deliver Solutions to Combatant Commands
CEIP,6.2.2.2,Distributed Computing,W7,Deliver and Sustain Electronic Health Record
CEIP,1.4.1.4.5,Provide Health Risk Assessment,E4,Deliver Solutions to Combatant Commands
CEIP,1.4.1.4.5,Provide Health Risk Assessment,W1,Build Robust Improvement Capability
CEIP,1.4.1.4.5,Provide Health Risk Assessment,W8,Improve Readiness Health and Experience
CEIP,1.4.1.4.5,Provide Health Risk Assessment,W10,Deploy Solutions for 21st Century
CEIP,1.4.3.10,Medical Research and Development,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEIP,1.4.3.10,Medical Research and Development,W1,Build Robust Improvement Capability
CEIP,1.4.3.10,Medical Research and Development,W3,Gather Develop and Prioritize Requirements
CEIP,1.4.3.10,Medical Research and Development,W10,Deploy Solutions for 21st Century
CEIP,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
CEIP,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
CEIP,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
CEIP,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
CEIP,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
CEIP,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
CEIP,6.2.3.3,Content Discovery,E4,Deliver Solutions to Combatant Commands
CEIP,6.2.3.3,Content Discovery,W7,Deliver and Sustain Electronic Health Record
CEIP,9.2.4,Studies & Analyses,E4,Deliver Solutions to Combatant Commands
CEIP,9.2.4,Studies & Analyses,W7,Deliver and Sustain Electronic Health Record
CEIP,9.2.4,Studies & Analyses,W10,Deploy Solutions for 21st Century
CEIP,9.4.1.2,Applied,E4,Deliver Solutions to Combatant Commands
CEIP,9.4.1.2,Applied,W5,Manage and Administer MTFs
CEIP,9.4.1.2,Applied,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
CEIP,9.4.1.2,Applied,W10,Deploy Solutions for 21st Century
CEIP,9.4.2.2,Capability Demonstration,E4,Deliver Solutions to Combatant Commands
CEIP,9.4.2.2,Capability Demonstration,W3,Gather Develop and Prioritize Requirements
CEIP,9.4.2.2,Capability Demonstration,W10,Deploy Solutions for 21st Century
CEIP,6.2.3.4,Content Delivery,E4,Deliver Solutions to Combatant Commands
CEIP,6.2.3.4,Content Delivery,W7,Deliver and Sustain Electronic Health Record
CEIP,1.4.1.4.1,Provide Comprehensive Health Surveillance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEIP,1.4.1.4.1,Provide Comprehensive Health Surveillance,E4,Deliver Solutions to Combatant Commands
CEIP,1.4.1.4.1,Provide Comprehensive Health Surveillance,W8,Improve Readiness Health and Experience
CEIP- AFCHIPS,1.4.1.4.1,Provide Comprehensive Health Surveillance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
CEIP- AFCHIPS,1.4.1.4.1,Provide Comprehensive Health Surveillance,E4,Deliver Solutions to Combatant Commands
CEIP- AFCHIPS,1.4.1.4.1,Provide Comprehensive Health Surveillance,W8,Improve Readiness Health and Experience
CEIP- BI Virtualization,1.4.1.4.1,Provide Comprehensive Health Surveillance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
