System,Alignment,Aligned Cap,Total Cap,Percent Grouping,Percent,EMW Coverage,Systems with Same EMW Coverage,EMW Combo Count,Top 10 EMW Match,Top 10 EMW Combo #
CARDIO2,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CARDIOVASCULAR CE,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W2 | W3 | W5 | W8 ,4,7,,
CARDIO X-Ray Device,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CARDMINDER PFU,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CARE360,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CARECHEK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CAREFUSION,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
CAT,Aligned,1,1,90-100%,100%,E4 | W10 | W3 ,2,3,,
CATEGORY TEST,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CATH LAB DB,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CB,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
CBRNE,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
CBUD,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
CC,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
CC-VISION,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
CCA-200,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CCE,Aligned,3,3,90-100%,100%,E3 | E4 | M1 | W5 | W6 | W8 ,2,6,,
CCOACH,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CCQAS,Aligned,2,2,90-100%,100%,E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 ,1,8,,
CDB,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CDDLIS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CDI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CDMD-OA,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
CDMRP,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
CDR,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
CDS,Aligned,4,5,70-80%,80%,E3 | E4 | M1 | W5 | W6 | W8 ,2,6,,
CD TOWER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CED,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CEDARS-SINAI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CEEP,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
CEIP,Aligned,15,18,80-90%,83%,E3 | E4 | W1 | W10 | W3 | W5 | W6 | W7 | W8 ,1,9,,
CEIP- AFCHIPS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- BI Virtualization,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- CAIB,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- CAP,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- COHORT,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- DAVINCI,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- HCE,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- HSDW,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- MHS Dashboard,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CEIP- RMS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CELLAVISION,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
CENSITRAC,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
CENTRAMAX,Aligned,2,1,90-100%,100%,E3 | E4 | W4 | W5 | W6 | W8 ,8,6,,
CERBERUS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CEREC,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CGMSI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CHAMPS,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
CHART,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CHAS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CHCS,Aligned,5,8,60-70%,62%,E2 | E3 | E4 | W10 | W2 | W5 | W6 | W8 | W9 ,2,9,,
CHECKPOINT,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
CHEMIDOC,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CHEMISTRY ANALYZER,Aligned,1,1,90-100%,100%,E4 | W8 ,8,2,,
CHPS,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
CINAHL,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
CIRRUS OCT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CIS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CISCOWLAN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CISCO PRIME,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CIS Reports,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
CITRIX,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CLAIM SAVER PRO,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
CLEARPASS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CLEARVIEW,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CLSARRAHS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
CM,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
CMA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CMC,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
CMIS,Aligned,1,1,90-100%,100%,E3 | M1 | W10 | W3 | W5 | W6 | W8 ,10,7,,
CMOS,Aligned,1,1,90-100%,100%,E4 | W3 | W5 | W8 ,1,4,,
CN3D,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
CNSVITAL,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CNT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
COAGULATION ANALYZER,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
COBAS BGELINK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
COLD FUSION,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COLPOSCOPE CERVEILLANCE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
COLPOSCOPE OPTIK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
COL CBT,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
COM-BOS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
COMLINX,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
COMM,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COMMANDVIEW,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COMMUNICATION SYSTEM,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COMMVAULT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COMPASS,Aligned,1,1,90-100%,100%,E3 | M1 | W10 | W3 | W5 | W6 | W8 ,10,7,,
COMPLETE VIEW,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COMPUDAT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
COMPUMEDICS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
COMPUTRITION,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
COMSOL,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
CON,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
CONEXUS PLEXUS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
CONNECTDIRECT,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
CONT,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W4 | W9 ,2,5,,
CONTENTDM,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
COPATH,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
COPIER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
COPILOT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CORELDRAW,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
CORI,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
CORNEAL TOPOGRAPHY ATLAS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CORNEAL TOPOGRAPHY GALILEI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CORNEAL TOPOGRAPHY MAGELLAN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CORNEAL TOPOGRAPHY ORBSCAN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CORRESPONDENCE ACCESS DATABASE,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
COUMACARE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
COUNTERACT,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
CP,Aligned,1,1,90-100%,100%,W3 | W8 | W9 ,2,3,,
CPCI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CPS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CPT-II,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CPW,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
CQA,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
CR,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
CRAT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CRB,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
CRL2,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CRS,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
CSBT PHC,Aligned,1,1,90-100%,100%,E1 | E2 | W1 | W2 | W8 ,8,5,,
CSDR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CSET,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CSP,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
CSTARS,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
CS 10,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CT-CV,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CTS,Aligned,1,1,90-100%,100%,W1 | W4 | W5 | W6 ,1,4,,
CT SCANNER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CT Scanner,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CUD,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
CURES,Aligned,1,1,90-100%,100%,E3 | M1 | W10 | W3 | W5 | W6 | W8 ,10,7,,
CVDBASE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CVLT-II,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CVS,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
CW,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CYSTOMETRY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CYTOVISION,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Calorimeter,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Camera  GAMMA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Cardio X-Ray Device,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Carousel,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
CatWalk XT,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
Chemistry Analyzer,Aligned,1,1,90-100%,100%,E4 | W8 ,8,2,,
Clintegrity,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
CoAP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CoagClinic,Aligned,3,3,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Coagulation Analyzer,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
Confocal Microsco,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
D-KEFS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DAMEWARE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DAMIS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DAPS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DAQ,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
DART,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DARTFISH,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
DATA,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
DATAAPS,Aligned,1,1,90-100%,100%,E1 | M1 ,6,2,,
DATALOAD,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DATA CENTER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DATA ONTAP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DAVINCI,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DBAPPS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DBSIGN,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DB NET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DCAM,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
DCPDS,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W2 | W5 ,4,6,,
DCPS,Aligned,1,1,90-100%,100%,E1 | M1 ,6,2,,
DCRS,Aligned,1,1,90-100%,100%,E3 | M1 | W5 ,3,3,,
DDI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DDRWA,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
DEAMS,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
DEERS,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
DEMS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
DENCAS,Aligned,3,3,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DENTAL XRAY INTRA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DENTAL XRAY PANORAMIC,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DENTRIX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DESKTOP VALIDATOR,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DEVAA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DEXTER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DFST,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DHA-ECS,Aligned,9,11,80-90%,81%,E3 | E4 | M1 | W1 | W10 | W3 | W5 | W6 | W8 | W9 ,2,10,,
DHA-MAD-PSB-CM,Aligned,1,1,90-100%,100%,E4 | W10 | W3 ,2,3,,
DHA CMS,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
DHCP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DHMSM,Aligned,68,78,80-90%,87%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W7 | W8 | W9 ,5,15,,
DHPRDB,Aligned,3,4,70-80%,75%,E1 | E3 | M1 | W10 | W3 | W5 | W6 | W8 ,1,8,,
DIACAP,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
DIALOGIC,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
DIALYSIS TEST ADMINISTRATION STATION,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DICE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIGIRAD,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIGITAL EYE CHART,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DIGITAL SIGNAGE,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
DIGITAL SWALLOWING,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
DIGITAL XRAY DIAGNOST,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIGITAL XRAY PRECISION,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIMAXIS PRO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIMENSION CHEMISTRY ANALYZER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIMPACS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DINPACS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DIRECTORY SERVICE,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
DIRECTX,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DISCO,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DISKEEPER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DIVERSE LAB,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DJMS,Aligned,1,1,90-100%,100%,E1 | M1 ,6,2,,
DLLS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DLSF PHC,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DMACS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DMHRSi,Aligned,3,5,50-60%,60%,E3 | E4 | M1 | W1 | W2 | W3 | W4 | W5 | W6 | W8 ,1,10,,
DMIX,Aligned,12,13,90-100%,92%,E1 | E2 | E4 | M1 | W1 | W10 | W3 | W5 | W7 | W8 | W9 ,1,11,,
DMLSS,Aligned,30,30,90-100%,100%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,7,14,,
DMLSS RFID,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
DMS,Aligned,1,1,90-100%,100%,E2 | E3 | M1 | W1 | W2 | W3 | W5 | W6 | W8 | W9 ,7,10,,
DMSS,Aligned,7,7,90-100%,100%,E3 | E4 | W1 | W10 | W3 | W7 | W8 ,1,7,,
DNA AMPLIFICATION ASSAY,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DNS,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
DOCUSHARE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
DOCUSYS,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
DOCUWARE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
DOD-VA,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
DOD-VA I SHARE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DOEHRS-HC,Aligned,8,10,70-80%,80%,E3 | E4 | W1 | W10 | W3 | W4 | W5 | W6 | W7 | W8 ,1,10,,
DOEHRS-IH,Aligned,11,11,90-100%,100%,E1 | E2 | E3 | E4 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W7 | W8 ,1,13,,
DOES,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
DOF,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
DOLPHIN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
DOSS,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
DOVETRACK,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
DPAS,Aligned,1,1,90-100%,100%,E3 | E4 | M1 | W5 ,1,4,,
