System,Capability
DMLSS,Optical
DMLSS,Develop and Maintain Facilities
DMLSS,Support to Homeland Defense and Civil Support Operations
DMLSS,Amputee Care
DMLSS,Operate the Joint Supply Enterprise (JSE)
DMLSS RFID,Medical Logistics Services
DMS,Community Support
DMSS,Provide Health Risk Assessment
DMSS,Provide Medical Intelligence Preparation of the Operational Environment (MIPOE)
DMSS,Anticipate and Predict Health Threats
DMSS,Medical Research and Development
DMSS,Provide Comprehensive Health Surveillance
DMSS,Provide Health Risk Communications (Including CBRNE)
DMSS,Archive and Retrieve Health-Related Documents and Data
DMTT,Disease Management
DNA AMPLIFICATION ASSAY,Laboratory Diagnostic Services
DNS,Enterprise Application Software
DOCUSHARE,Enterprise Application Software
DOCUSYS,Pharmacy Services
DOCUWARE,Enterprise Application Software
DOD-VA,Provide Comprehensive Health Surveillance
DOD-VA I SHARE,Radiology Diagnostic Services
DODET,Quality Improvement (QI)
DOEHRS-HC,Occupational Health Services
DOEHRS-HC,Assess Manner of Employment
DOEHRS-HC,Determine Vulnerabilities
DOEHRS-HC,Provide Health Risk Assessment
DOEHRS-HC,Anticipate and Predict Health Threats
DOEHRS-HC,Provide Comprehensive Health Surveillance
DOEHRS-HC,Assess Employment of Forces
DOEHRS-HC,Provide Health Risk Evaluation (Characterization)
DOEHRS-HC,Evaluate Operational Environment
DOEHRS-HC,Provide Health Risk Communications (Including CBRNE)
DOEHRS-IH,Provide Health Risk Evaluation (Characterization)
DOEHRS-IH,Provide Comprehensive Health Surveillance
DOEHRS-IH,Provide Health Risk Communications (Including CBRNE)
DOEHRS-IH,Public Health Laboratory (PHL) Services
DOEHRS-IH,Provide Health Risk Assessment
DOEHRS-IH,Evaluate Operational Environment
DOEHRS-IH,Anticipate and Predict Health Threats
DOEHRS-IH,Health Quality and Safety
DOEHRS-IH,Determine Vulnerabilities
DOEHRS-IH,Occupational Health Services
DOEHRS-IH,Archive and Retrieve Health-Related Documents and Data
DOES,Beneficiary Services
DOF,End User Services
DOLPHIN,Preventive Dentistry Services
DOSS,Continuing Health Education
DOVETRACK,Inventory Management
DPAS,Develop and Maintain Facilities
DQ-Navy,Assess Effects
DQ-Navy,Establish Measures of Effectiveness
DQ-Navy,DEFINE THE HEALTH BENEFIT
DQMCP,Quality Assurance
DR,Defensive Cyber - Internal Defensive Measures
DR  DX  CR,Radiology Diagnostic Services
DRA,Directory Services
DRAEGER,Patient Safety
DRAGER,Surgery (Inpatient)
DRAWBASE,Medical Facilities
DRIVING SIMULATOR,Occupational Therapy
DRMS,Leverage Mission Partners
DRMS,Archive and Retrieve Health-Related Documents and Data
DRS,Develop and Manage Defense Health Program
DRST,Specialty Care
DRSi,Provide Comprehensive Health Surveillance
DS,Occupational Rehabilitation
DS-ET,Server Services
DSC,Localized Communications
DSCOPE,Occupational Health Services
DSHD,Protect Against Disclosure or Modification of Data
DSI,Medical Research and Development
DSI S11 X11,Medical Research and Development
DSN,Protect Against Network Infiltration
DT,End User Services
DT-702 DOSE,Occupational Health Services
DTE,Health Information Technology Requirements and Development
DTOX,Occupational Health Services
DTREE,Mental Healthcare
DTRS,DIAGNOSIS
DTS,Accounting and Finance
DTS DT,Content Discovery
DVEIVR,Medical Research and Development
DVEIVR,Provide Comprehensive Health Surveillance
DVEIVR,Health Quality and Safety
DVEIVR,DEFINE THE HEALTH BENEFIT
DVS,Specialty Care
DV TRAINER,Continuing Health Education
DYMO,End User Services
DYNAMED,Continuing Health Education
DYNEX DS2,Laboratory Diagnostic Services
DecisionBase Pro,End User Services
Dictaphone,DEFINE THE HEALTH BENEFIT
Digital Image Processor,Preventive Dentistry Services
Discovery Studio,Medical Research and Development
DoD-VA,Provide Comprehensive Health Surveillance
DoDMERBS,Personnel Accountability
DoDMERBS,Access a Healthy and Fit Force
DoDMERBS,Manning
DoDSER,Provide Health Risk Communications (Including CBRNE)
DoDSER,Studies & Analyses
DoDTR,DEFINE THE HEALTH BENEFIT
DoDTR,Content Discovery
DoDTR,Health Quality and Safety
DoFEMS,Medical Logistics Integration
DoFEMS,Medical Logistics Management
DoFEMS,Medical Logistics Services
DoFEMS,Optical
DoubleTake,Server Services
E-FAX,End User Services
E-Proxy,Continuing Health Education
E2A,TREATMENT
E2E,Net Management
E4D,Routine Ambulatory Care (Dental)
EAS-IV,Manage DHP Military Personnel (MilPers) by End Strength
EAS-IV,Exercise Medical Management of Seamless Interoperable Medical Operations
EAS-IV,Analyze Information
EAS-IV,Accounting and Finance
EAS-IV,Assess Achievement of Objectives
EAS-IV,Interpretation (AP)
EAS-IV,Evaluate Courses of Actions
EAS-IV,Total Medical Force Recruiting
EAS-IV,Establish Measures of Performance
EAS-IV,Wounded  Ill and Injured Support
EAS-IV,Plan Collaboratively
EAS-IV,Develop and Maintain Shared Situational Awareness and Understanding
EAS-IV,Synchronize Execution Across All Domains
EAS-IV,Provide Medical Intelligence Preparation of the Operational Environment (MIPOE)
EAS-IV,Communicate Medical Plan to Support Commander’s Intent and Guidance
EAS-IV,Assess Effects
EAS IV,Develop and Manage Defense Health Program
EBMS-D,Medical Logistics Services
EBMS-D,Blood
EBRAP,Medical Research and Development
EBSCO DS,Portal Services
EC,Net Management
ECAA,Ambulatory Diagnostic Services (Medical)
ECAA,Preventive Medical Services
ECAA,Routine Ambulatory Care (Medical)
ECAS,Audits
ECAT,Inventory Management
ECDRS,Provide Comprehensive Health Surveillance
ECDTP,Medical Research and Development
ECHOCARDIOGRAPH,Radiology Diagnostic Services
ECHOPACS,Archive and Retrieve Health-Related Documents and Data
ECI,Facilities Support
ECIA,Radiology Diagnostic Services
ECLIPSE,Specialty Care
ECONOPACK,Health Facility Construction
ECONSENT,Routine Ambulatory Care (Medical)
ECRI,Studies and Analysis
EC 100,Specialty Care
EDA,Information Sharing
EDES,Medical Support to Disability Evaluation
EDIPV,Collaboration
EDIS,Emergency Healthcare Services
EDIS,Ambulatory Diagnostic Services (Medical)
EDIS,Treatment
EDS VTC,Collaboration
EDVR,Personnel Accountability
EEG AS40,Specialty Care
EEG Alliance Works,Specialty Care
EEG EASY II,Specialty Care
EEG NEUROFAX,Specialty Care
EEG TRUSCAN,Mental Healthcare
EEMLC 200,Environmental
EFILM,Archive and Retrieve Health-Related Documents and Data
EGS,Contract Modifications
EGS,Medical Research and Development
EGS,Contract Development
EHDOS,Medical Logistics Services
EHEALTH,Network Resource Visibility
EI-DS,Claims Payment
EI-DS,Disseminate Information
EI-DS,Develop and Maintain Shared Situational Awareness and Understanding
EI-DS,Archive and Retrieve Health-Related Documents and Data
EI-DS,Develop and Manage Defense Health Program (DHP)
EI-DS,Health Quality and Safety
EI-DS,Medical Research and Development
EI-DS,Distill Information
EI-DS,Provide Comprehensive Health Surveillance
EI-DS,Analyze Information
EI-DS (No longer exists and has been broken up into the following systems),Medical Information Management
EIMMUNE,Primary Care
EINFOTREE,Server Services
EIRB,Medical Research and Development
EKAHAU,Medical Equipment and Technology
EKG-ECG DEVICE,Specialty Care
EKG-ECG Device,Specialty Care
ELA,End User Services
ELECTROGLOTTOGRAPHY DIGITAL STROBE,Specialty Care
ELEKTA,Case Management
ELSEVIER,Continuing Health Education
EMBASSY,End User Services
EMBLETTA,Specialty Care
EMC,Shared Computing
EMCS,Medical Logistics Services
EMG,Specialty Care
EMILPO,Portal Services
EMMA,Pharmacy Services
EMPARTS,Personnel Accountability
EMPRISE,Enterprise Application Software
EMS,Net Management
EMSTAT,Enterprise Application Software
EMWAVE,Mental Healthcare
ENCODER PRO,Claims Payment
ENDOMANAGER,TREATMENT
ENDOSCOPY,Specialty Care
ENDOSOFT,Specialty Care
ENDOWORKS,Specialty Care
ENDURACUT,End User Services
ENIE,Long-Haul Telecommunications
ENOSIS,Communication Bridge
ENS,Enterprise Messaging
ENTOLAB,Provide Comprehensive Health Surveillance
EPAD,Beneficiary Services
EPD,Occupational Health Services
EPEB,Medical Support to Disability Evaluation
EPICCARE,Specialty Care
EPICENTER,Provide Comprehensive Health Surveillance
EPINET,Occupational Health Services
EPIPHANY,Specialty Care
EPIQUEST,Provide Comprehensive Health Surveillance
EPI SUITE,Installation Services
EPKI,Specialty Care
EPMM,Archive and Retrieve Health-Related Documents and Data
EPOWER,Emergency Services
EPRIME,Medical Research and Development
EP EVALUATOR,Medical Equipment Maintenance
EP MEDSTATION,Specialty Care
EQUIP,End User Services
ERAM PHC,Assure Access
ERAS,Graduate Medical Education
ERECEIPT,Medical Research and Development
ERGOFIX,Occupational Health Services
ERMC JOURNALS,Continuing Health Education
ERMS,Medical Research and Development
ERWIN,Server Services
ESAMS,Patient Safety
ESIG,DEFINE THE HEALTH BENEFIT
ESIMS,Medical Materiel
ESM,Installation Services
ESOHIR,Occupational Health Services
ESOPHAGEAL MANOMETRY,Specialty Care
ESP,Operational Test and Evaluation
ESR-AUTO PLUS,Laboratory Diagnostic Services
ESS,Installation Services
ESSENCE,Provide Comprehensive Health Surveillance
EST 2000,Medical Research and Development
ET,Defensive Cyber - Internal Defensive Measures
ETALK,Quality Improvement (QI)
EUD,End User Services
EVAS,Server Services
EVENTSENTRY,End User Services
EVENT MANAGEMENT,TREATMENT
EV 1000,Specialty Care
EW,End User Services
EWA,Enterprise Application Software
EXCEED,Assure Transfer
EXCHANGE,Enterprise Messaging
EXERCISE PRO,Optimize Health and Fitness of the Non-deployed Force
EXIT WRITER,TREATMENT
EXPANDED HRB,Mental Healthcare
EXPERT,Network Resource Visibility
EXPLORER,Enterprise Application Software
EXTRANET,Portal Services
EYEDOCK,Specialty Care
EZCLAIM,Claims Payment
Easy Coder,Laboratory Diagnostic Services
Electrotherapy,Specialty Care
EndNote,Content Discovery
Environment Monitor,Medical Logistics Services
EpiInfo,Provide Comprehensive Health Surveillance
Essentris,Burn Care
Essentris,Surgery (Inpatient)
Essentris,Medical Care in a CBRNE Environment
Essentris,Intensive Care
Essentris,Inpatient Non-Surgical Treatment
Evironment Monitor,Medical Logistics Services
Exit Writer,TREATMENT
FACCOM,Installation Services
FACIL MGMT,Sustainment of Installation Assets
FADL LIMS,Laboratory Diagnostic Services
FAHCNET,Localized Communications
FAMDS,Pharmacy Services
FAPDB,Mental Healthcare
FASOR,Mental Healthcare
FASOR,Ensure the Physical and Mental Health of the Redeployed Force
FAST,Personnel Accountability
FATS,Medical Equipment and Technology
FBIR,Provide Comprehensive Health Surveillance
FCR GO 2,Radiology Diagnostic Services
FEAR CONDITIONING,Medical Research and Development
FEDLOG,Inventory Management
FETAL MONITOR,Inpatient Non-Surgical Treatment
FETAL MONITOR COROMETRICS,Inpatient Non-Surgical Treatment
FETAL MONITOR PHILLIPS,Inpatient Non-Surgical Treatment
FFS,Net Management
FILENET,Laboratory Diagnostic Services
FIREDAEMON,Enterprise Application Software
FIRST DATABANK,Pharmacy Services
FISMA,Health Information Technology Requirements and Development
FITMATE,Specialty Care
FITPLUS,Occupational Health Services
FLD,Medical Logistics
FLIR,Medical Research and Development
FLUKE,DODIN Capabilities
FLUORSCAN DEVICE,Radiology Diagnostic Services
FMIS,Information Sharing
FMIS,Analyze Information
FMIS,Develop Knowledge and Situational Awareness
FMIS,Assess Effects
FMIS,Program - Budget and Performance
FNS,Distributed Computing
FOIAXPRESS,Medical Information Management
FONEMED,Ambulatory Diagnostic Services (Medical)
FOOD PROCESSOR,Medical Research and Development
FOOT SCAN,Specialty Care
FORECAS,Plan Collaboratively
FORESCOUT,Network Resource Visibility
FORESEER,Communications and Computers
FORTIFY,Protect Against Denial or Degradation of Services
FORTRANLINT,Enterprise Application Software
FORUM,DEFINE THE HEALTH BENEFIT
FRC,Common Identity Assurance Services
FREEDOM,Localized Communications
FSCALE,End User Services
FS PRO,End User Services
FT,Screening
FT-IR,Laboratory Diagnostic Services
FTDTL,Laboratory Diagnostic Services
FUNDUS CAMERA,Specialty Care
FUSION,Server Services
FUSIONFX,TREATMENT
Fetal Monitor Avalon,Inpatient Non-Surgical Treatment
Fetal Monitor Viridia,Inpatient Non-Surgical Treatment
Field ANALYZER,Specialty Care
FlexiVent,Medical Research and Development
Floroscan Device,Radiology Diagnostic Services
Fluoroscan Device,Radiology Diagnostic Services
G3,Provide Comprehensive Health Surveillance
G3TSKS,Personnel Accountability
GAMS,Medical Research and Development
GARMIN,End User Services
GASMET,Medical Research and Development
GASTROSCOPE,Specialty Care
GAS CHROMATOGRAPH,Public Health Laboratory Services
GATAN,Medical Research and Development
GDR,Server Services
GDX PRO,Specialty Care
GEM,Laboratory Diagnostic Services
GEMS-Human Phys,Continuing Health Education
GENESPRING,Medical Research and Development
GENEXPERT,Laboratory Diagnostic Services
GENOME,Medical Research and Development
GETWELL,Content Delivery
GE AWS,Archive and Retrieve Health-Related Documents and Data
GE DMS,Archive and Retrieve Health-Related Documents and Data
GFEBS,Develop and Manage Defense Health Program
GFI,Defensive Cyber - Internal Defensive Measures
GIDEON,Provide Medical Intelligence Preparation of the Operational Environment (MIPOE)
GIS,Utilize Geospatial Data
GISMETA PHC,Utilize Geospatial Data
GLUCOMETER XCEED PRO,Laboratory Diagnostic Services
GMIX HDR,Therapeutic Radiology Services
GOV,Health Information Technology Requirements and Development
GOVERLAN,End User Services
GPM,Common Identity Assurance Services
GPPDMS,Occupational Health Services
GRAPHPAD,Enterprise Application Software
GREENWMT,Mental Healthcare
GRFP,Physical Therapy
GSVIEW,Enterprise Application Software
GUEST TRACKER,Wounded  Ill  and Injured Support
GWF,Provide Comprehensive Health Surveillance
GWLAN,Beyond Line of Sight
GYNSYSPLUS,Primary Care
Gaussian,Medical Research and Development
Ghost,Radiology Diagnostic Services
GlobalCode,Medical Information Management
HAIMS,Organic and Area Medical Support in Theater
HAIMS,Surgery (Ambulatory)
HAIMS,Emergency Healthcare Services
HAIMS,Theater Hospitalization
HAIMS,Archive and Retrieve Health-Related Documents and Data
HAIMS,Content Delivery
HAIMS,Amputee Care
HAIMS,Inpatient Non-Surgical Treatment
HAIMS,Routine Ambulatory Care (Dental)
HAIMS,Surgery (Inpatient)
HAIMS,Content Discovery
HAIMS,Intensive Care
HAIMS,Provide Medical Intelligence Preparation of the Operational Environment (MIPOE)
HAIMS,Burn Care
HALO,Installation Services
HAPSITE,Environmental
HARPS,Installation Services
HAYSTACK,Inventory Management
HBE,Program-Budget and Performance
HBSS,Protect Against Network Infiltration
HC,Communications and Computers
HCAB,Joint and Service Medical Education and Training
HCE,Specialty Care
HCIDEA,Pharmacy Services
HCRD,Patient Safety
HCS,Audits
HDD,Shared Computing
HDM,DEFINE THE HEALTH BENEFIT
HDSS,Portal Services
HEALTH.MIL,Collaboration
HEALTHCONNECTION,Provide Comprehensive Health Surveillance
HEAR,Primary Care
HEARING AID FITTING,Specialty Care
HEART START,Emergency Services
HEAT,End User Services
HEDIS,DEFINE THE HEALTH BENEFIT
HEG,Mental Healthcare
HEMATOLOGY ANALYZER,Medical Equipment and Technology
HEMATRAX,Blood
HERMES,CLINICAL PREVENTIVE MEDICINE
HI,Community Support
HI-IQ,Monitor Execution  Assess Effects and Adapt Operations
HI-PRO,Specialty Care
HIGHMAT EXTENSION,End User Services
HIOSC,Joint and Service Medical Education and Training
HIP,Case Management
HIPAA,Medical Information Management
HMIRS,Medical Logistics
HMI PACS,Radiology Diagnostic Services
HMS,Archive and Retrieve Health-Related Documents and Data
HMS,Medical Research and Development
HMS,Public Health Laboratory (PHL) Services
HMS,Preventive Medical Services
HMS,Readiness Reporting
HMS,Provide Health Risk Communications (Including CBRNE)
HOKANSON,Medical Research and Development
HOLTER,Specialty Care
HOME-DEPT CLUSTER,Server Services
HOMECAGE SCAN,Medical Research and Development
HOSPIRA,Pharmacy Services
HOTDOCS,Community Support
HP,Server Services
HPAS,Medical Logistics Services
HPRC,Quality Assurance
HPV,Laboratory Diagnostic Services
HP OpenView,Network Resource Visibility
HRA,Screening
HRR,Medical Information Management
HS,Localized Communications
HSAA,Studies and Analysis
HSLC,Staff Development
HSPTD,Community Health Education
HTB,Portal Services
HTC G1 SMARTPHONE,End User Services
HTEMGMC,Collaboration
HUGS,Patient Safety
HUMPHREY VF,Specialty Care
HVAC,Facilities Support
HVLT,Mental Healthcare
HVS Image,Medical Research and Development
HYDRATION,Provide Comprehensive Health Surveillance
HYENA,Net Management
HYPERBARIC,Specialty Care
Hearing Aid Fitting,Specialty Care
Hematology Analyzer,Medical Equipment and Technology
Hyperspectral,Medical Research and Development
I-BASE,Disease Management
I-O PROCESSING,Assignment
IA-BD,Protect Against Network Infiltration
IA-CA,Staff Development
IA-CGMAS,Net Management
IA-CNO,Net Management
IA-CQT,Staff Development
IA-CR,Protect Against Network Infiltration
IA-CandA,Protect Against Network Infiltration
IA-CoA,Net Management
IA-PI,Net Management
IA-PKE,Assure Access
IA-SITA,Defensive Cyber - Internal Defensive Measures
IA-SWA,End User Services
IACTE,Medical Research and Development
IARS,Protect Against Network Infiltration
IATS,Staff Development
IA - Support,Net Management
IA DASHBOARD,Audits
ICD-10,Staff Development
ICE,Quality Improvement (QI)
ICODES,Operate the Joint Supply Enterprise (JSE)
ICPCCS,Substance Abuse Care
ICPCCS,Amputee Care
ICPCCS,Manage Warfighter Fatigue
ICPCCS,Physical Rehabilitation
ICPCCS,Burn Care
ICPCCS,Wounded  Ill  and Injured Support
ICPCCS,Beneficiary Services
ICPCCS,Mental Healthcare
ICPCCS,Pharmacy Services
ICPCCS,Inpatient Non-Surgical Treatment
ID,Beneficiary Services
IDENTIPASS,Installation Services
IDP,Staff Development
IDS,Installation Services
IDWORKS,Installation Services
ID BADGES,Installation Services
IEF CELL,Medical Research and Development
IEHR INC 1,Medical Information Management
IGRAFX,Studies and Analysis
IGT,Mental Healthcare
IISAS,Server Services
ILER,Archive and Retrieve Health-Related Documents and Data
IM,Installation Services
IM-IT SALARIES,Accounting and Finance
IMDII,Information Sharing
IMED,Routine Ambulatory Care (Medical)
IMITS-TR,Inpatient Diagnostic Services
IMITS-TR,Diagnostic Radiology Services
IMITS-TR,Radiology Diagnostic Services
IMITS-TR,Ambulatory Diagnostic Services (Medical)
IMMUNOASSAY ANALYZER,Laboratory Diagnostic Services
IMMUNOASSAY SYSTEM,Laboratory Diagnostic Services
IMPACT,Health Information Performance Assessment
IMPAX,Radiology Diagnostic Services
IMPLANT TRACKER,Preventive Dentistry Services
IMPLANT VIEW,Therapeutic Radiology Services
IMPRESS,Medical Materiel
INABSYS,Installation Services
INACTIVE MEDICAL RECORDS,Archive and Retrieve Health-Related Documents and Data
INF,Localized Communications
INFADS,Portfolio Management
INFANT SS,Patient Safety
INFINITY,Laboratory Diagnostic Services
INFORMATICA,Server Services
INFORMATICS,Accounting and Finance
INFORMIX CONNECT,End User Services
INFO ANALYST,Develop and Manage Defense Health Program
INFRAGISTICS,Enterprise Application Software
INFRARED CAMERA,Medical Research and Development
INGENIX,Medical Information Management
INGRES,End User Services
INSIGHT,Mental Healthcare
INSTALLSHIELD,End User Services
INTAGLIO,Archive and Retrieve Health-Related Documents and Data
INTELLICAB,Pharmacy Services
INTELLICENTER,Localized Communications
INTELLIDOSE,Specialty Care
INTELLIMOTION,Manage Supplies and Equipment
INTEPRETERS,Contractor Management
INTERQUAL,Beneficiary Services
INTRAVENOUS SOLUTION COMPOUNDER,Pharmacy Services
INVIVO,Radiology Diagnostic Services
IOL CONSULTANT,Specialty Care
IOL MASTER,Specialty Care
ION,Medical Research and Development
IOR,Surgery (Inpatient)
IPA,Medical Research and Development
IPFG MSI,Specialty Care
IPLEDGE,Occupational Health Services
IPM,Medical Research and Development
IPRN,End User Services
IPRO,Laboratory Diagnostic Services
IPS CONSOLE,Assure Access
IPTS,Health Information Technology Requirements and Development
IP CAMERA,Medical Research and Development
IRBNET,Medical Research and Development
IRONPORT,Network Resource Visibility
IRONVIEW,Network Resource Visibility
IS,Server Services
ISITE,Radiology Diagnostic Services
ISMA,Health Information Performance Assessment
ISS,Installation Services
ISTAT CDS,Laboratory Diagnostic Services
ITAM,Manage Supplies and Equipment
ITRM,Mental Healthcare
ITS (being evaluated alongside NMO),Immunization
ITV,Localized Communications
IT Svcs,Distributed Computing
IVA PLUS,Mental Healthcare
IVIS,Installation Services
IVISS,TREATMENT
IWIMS,Medical Facilities
IZOOM,Claims Payment
ImagePro Plus,Medical Research and Development
JABBER,Collaboration
JAMS,TREATMENT
JANUS,Information Sharing
JAVA,End User Services
JAWS,End User Services
JCAHO,Quality Assurance
JDES-IT,Disability Evaluation
JDES-IT,Transitional Services
JETADMIN,End User Services
JHASIR,Specialty Care
JMAR,Inventory Management
JMP,Medical Research and Development
JMPT,Plan Collaboratively
JOHNSON CONTROLS,Facilities Support
JOMIS,Disseminate Information
JOMIS,Ambulatory Diagnostic Services (Dental)
JOMIS,Document Problem Elements
JOMIS,Inpatient Diagnostic Services
JOMIS,Emergency Services
JOMIS,Assignment
JOMIS,Burn Care
JOMIS,Enhance Warfighter Sensory  Cognitive  and Motor Capabilities
JOMIS,First Responder Care
JOMIS,Security Services
JOMIS,Training
JOMIS,Emergency Healthcare Services
JOMIS,Analyze Situation
JOMIS,Sustainment of Installation Assets
JOMIS,Inventory Management
JOMIS,Analyze Events
JOMIS,Ambulatory Diagnostic Services (Medical)
JOMIS,Information Management
JOMIS,Disability Evaluation
JOMIS,En Route Care
JOMIS,Wounded  Ill and Injured Support
JOMIS,Casualty Evacuation (CASEVAC)
JOMIS,Compile Information
JOMIS,Aeromedical Evacuation (AE)
JOMIS,Analyze Information
JOMIS,Staging and Management of Patient Movement Teams
JOMIS,Assure Transfer
JOMIS,Content Discovery
JOMIS,Develop and Maintain Shared Situational Awareness and Understanding
JOMIS,Blood
JOMIS,Routine Ambulatory Care (Medical)
JOMIS,Develop and Maintain Facilities
JOMIS,Surgery (Inpatient)
JOMIS,Enhance Warfighter Learning  Communications and Decision Making
JOMIS,Routine Ambulatory Care (Dental)
JOMIS,Access a Healthy and Fit Force
JOMIS,Forward Resuscitative Care
JOMIS,Surgery (Ambulatory)
JOMIS,Develop and Manage Defense Health Program (DHP)
JOMIS,Issue Orders
JOMIS,Information Sharing
JOMIS,Facilities Support
JOMIS,Archive and Retrieve Health-Related Documents and Data
JOMIS,User Access (Portal)
JOMIS,Deployment and Distribution
JOMIS,Medical Information Management
JOMIS,Assign Roles and Responsibilities
JOMIS,Diagnostic Radiology Services
JPAS,Contract Support Integration
JPIMS,Medical Research and Development
JPIMS,Laboratory Diagnostic Services
JPIMS,Professional Military Education
JPIMS,Health Professional Degree Granting Programs
JPIMS,Archive and Retrieve Health-Related Documents and Data
JPIMS,Content Delivery
JPIMS,Basic and Specialty Medical Education and Training Programs
JPIMS,Experimentation
JPIMS,Provide Health-Related Education
JPIMS,Common Identity Assurance Services
JPIMS,Graduate Medical Education
JPIMS,Diagnostic Radiology Services
JPIMS,Assure Access
JPIMS,Assure Transfer
JPIMS,Civilian Education
JPIMS,User Access (Portal)
JPIMS,Content Discovery
JTTR,Quality Improvement (QI)
JUNIPER,Distributed Computing
JXP,End User Services
Juniper,Distributed Computing
KEA!,End User Services
KEYTRAK,Installation Services
KEY TRACKER,Installation Services
KIOSKS,Primary Care
KIWI,Network Resource Visibility
KKP,Installation Services
KM,Medical Research and Development
KOKO,Specialty Care
KONAN,Specialty Care
KRP,End User Services
KR REFRACTOR,Specialty Care
L&D - KIOSK,Primary Care
LABCORP,Laboratory Diagnostic Services
LABVIEW,End User Services
LAB MANAGER,Laboratory Diagnostic Services
LACS,Installation Services
LAN,Localized Communications
LAPROSCOPIC SIMULATOR,Core and Specialty Medical Education and Training Programs
LASERFICHE,Server Services
LASER WELDER,Routine Ambulatory Care (Dental)
LATEX SENSITIVITY,Occupational Health Services
LC,Assure Transfer
LD2,Occupational Health Services
LEAD,Radiology Diagnostic Services
LEERS,Medical Information Management
LENSOMETER,Specialty Care
LEXI-COMP,Pharmacy Services
LIBRARY,Medical Research and Development
LIFENET,Emergency Services
LIFETRAK,Laboratory Diagnostic Services
LIGHTBOX,Specialty Care
LIGHTNING,Server Services
LINEAR ACCELERATOR,Therapeutic Radiology Services
LINK PLUS,Collaboration
LISA,Laboratory Diagnostic Services
LISA,Public Health Laboratory (PHL) Services
LITHOTRIPTER,Specialty Care
LLIS,Laboratory Diagnostic Services
LM,End User Services
LMSXS,Environmental
LN,Collaboration
LOAD,Core Enterprise Services
LOGGERNET,Provide Comprehensive Health Surveillance
LOGIZAN,Health Information Technology Requirements and Development
LOGMOD,Operate the Joint Deployment and Distribution Enterprise
LOTUS,End User Services
LRS,Content Delivery
LSC,Radiology Diagnostic Services
LSM,Laboratory Diagnostic Services
LSS,Staff Development
LTO LIBRARY,Server Services
LV,End User Services
LYNX,Enterprise Messaging
LYNXGS,Installation Services
Leica,Medical Research and Development
Luminos Agile,Radiology Diagnostic Services
M3,Medical Research and Development
MAC 5500 ECG,Specialty Care
MAGNASYNC GENESIS,Localized Communications
MAGPIX,Laboratory Diagnostic Services
MAGVIEW,Radiology Diagnostic Services
MAGic,End User Services
MAIL,Community Support
MAMMOGAPHY DEVICE,Radiology Diagnostic Services
MAMMOGRAPHY DEVICE,Radiology Diagnostic Services
MAMMOGRAPHY SW,Radiology Diagnostic Services
MANAGEMENT,Quality Improvement (QI)
MANOSCAN MANOMETER,Specialty Care
MAPCHECK2,Therapeutic Radiology Services
MARCO CONNECT,Specialty Care
MARPLOT,Achievement of health preparedness and an adequate response capability
MARS,Specialty Care
MASCOT,Medical Research and Development
MASS NOTIFICATION,Enterprise Messaging
MASTERSCREEN,Specialty Care
MASTER II,Specialty Care
MATHCAD,Therapeutic Radiology Services
MATHTYPE,Enterprise Application Software
MATLAB,Medical Research and Development
MAXIMO,Manage Supplies and Equipment
MAX Fed,Information Sharing
MC4,End User Services
MCAFEE,Defensive Cyber - Internal Defensive Measures
MCARE,Enterprise Messaging
MCDB,Medical Support to Disability Evaluation
MCMI,Mental Healthcare
MCRT,Audit  Inspection and Investigation
MCSITOS,Operational Test and Evaluation
MDC,Continuing Health Education
MDET LITE,Utilization Management
MDG SURVEILLANCE,Installation Services
MDT 500,Patient Safety
ME,Medical Research and Development
MEBITT,Medical Support to Disability Evaluation
MEDB,Medical Equipment and Technology
MEDBOLTS,Disability Evaluation
MEDCIN,TREATMENT
MEDIC,Provide Medical Intelligence Preparation of the Operational Environment (MIPOE)
MEDICALL,Medical Facilities
MEDICATION MANAGER,Pharmacy Services
MEDIMPACT,Pharmacy Services
MEDISOFT,Utilization Management
MEDIT,Specialty Care
MEDLOGSPT,Portal Services
MEDMODEL,Quality Improvement (QI)
MEDNOSC,Net Management
MEDREC,Archive and Retrieve Health-Related Documents and Data
MEDSTREAMING,Utilization Management
MEDVIEW,Radiology Diagnostic Services
MEM,Net Management
MENDELEY,Medical Research and Development
MEPRS,Develop and Manage Defense Health Program
MERCURY,Developmental Testing
MERGE CARDIO,Specialty Care
MESMS,Environmental
MESOC,Net Management
MESSAGE CLASSIFY,Enterprise Messaging
METACHECK,Ambulatory Diagnostic Services (Medical)
METACORE,Medical Research and Development
METASYS,Medical Facilities
MEWACS,Quality Improvement (QI)
MF,Operational Test and Evaluation
MHAL,End User Services
MHCE,Ensure the Physical and Mental Health of the Redeployed Force
MHCE,Provide Health Risk Communications (Including CBRNE)
MHCE,Optimize Health and Fitness of the Peacetime Force
MHS-EART,Enterprise Architecture
MHS-EAT,Enterprise Architecture
MHS-FFT,Develop and Manage Defense Health Program
MHS-PPT,Establish Measures of Effectiveness
MHS-PPT,Establish Measures of Performance
MHS-PPT,Health Quality and Safety
MHS-PPT,Issue Plans
MHSITRP,Medical Services Acquisition
MHSITRP,Medical Contract Management
MHSITRP,Monitoring
MHSITRP,Health Services Contract Management
MHSPHP,Provide Comprehensive Health Surveillance
MHSPPT,Utilization Management
MICARE,Medical Information Management
